名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
藤中,64,25,3,39.1,34.4,25,0,0,0,391,5,22,130.0,253,0.51,,ジェイテクトSTINGS
郡,11,5,1,45.5,36.4,1,0,0,0,36,4,6,14.0,22,0.64,,ジェイテクトSTINGS
西田,334,149,36,44.6,33.8,53,0,0,0,439,58,145,160.0,290,0.55,,ジェイテクトSTINGS
本間,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,ジェイテクトSTINGS
福山,21,10,1,47.6,42.9,49,0,0,0,435,18,36,138.0,295,0.47,,ジェイテクトSTINGS
伏見,26,11,0,42.3,42.3,19,0,0,0,174,3,25,56.0,107,0.52,,ジェイテクトSTINGS
久保山,4,4,0,100.0,100.0,14,0,0,0,327,4,12,115.0,219,0.53,,ジェイテクトSTINGS
浅野,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0.0,1,0.0,,ジェイテクトSTINGS
柳澤,25,11,1,44.0,40.0,4,0,0,0,81,1,2,23.0,53,0.43,,ジェイテクトSTINGS
袴谷,30,13,5,43.3,26.7,1,0,0,0,90,5,35,23.0,70,0.33,,ジェイテクトSTINGS
金丸,0,0,0,,,2,0,0,0,17,0,0,7.0,10,0.7,,ジェイテクトSTINGS
小林,3,1,0,33.3,33.3,2,0,0,0,57,1,7,14.0,43,0.33,,ジェイテクトSTINGS
フェリペ,166,83,16,50.0,40.4,29,0,0,0,341,15,77,98.0,245,0.4,,ジェイテクトSTINGS
興梠,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,ジェイテクトSTINGS
饒,33,19,2,57.6,51.5,14,0,0,0,182,3,11,49.0,134,0.37,,ジェイテクトSTINGS
宮浦,4,2,0,50.0,50.0,0,0,0,0,26,4,4,7.0,19,0.37,,ジェイテクトSTINGS
村山,2,1,0,50.0,50.0,1,0,0,0,7,0,1,1.0,6,0.17,,ジェイテクトSTINGS
深津,11,5,0,45.5,45.5,18,0,0,0,472,18,33,167.0,279,0.6,,パナソニックパンサーズ
白澤,2,2,0,100.0,100.0,8,0,0,0,54,1,4,12.0,42,0.29,,パナソニックパンサーズ
清水,176,89,12,50.6,43.8,13,0,0,0,332,39,65,114.0,215,0.53,,パナソニックパンサーズ
クビアク,221,104,14,47.1,40.7,37,0,0,0,406,21,68,149.0,262,0.57,,パナソニックパンサーズ
伊賀,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,パナソニックパンサーズ
久原,131,64,10,48.9,41.2,27,0,0,0,337,12,25,122.0,222,0.55,,パナソニックパンサーズ
山内,43,24,2,55.8,51.2,31,0,0,0,391,13,20,132.0,266,0.5,,パナソニックパンサーズ
大竹,77,34,7,44.2,35.1,5,0,0,0,115,8,28,34.0,82,0.41,,パナソニックパンサーズ
新,2,2,0,100.0,100.0,0,0,0,0,85,6,20,37.0,53,0.7,,パナソニックパンサーズ
今村,11,6,0,54.5,54.5,1,0,0,0,31,0,5,10.0,22,0.45,,パナソニックパンサーズ
小宮,25,13,2,52.0,44.0,32,0,0,0,289,6,36,89.0,200,0.45,,パナソニックパンサーズ
兒玉,7,3,0,42.9,42.9,10,0,0,0,55,1,3,14.0,43,0.33,,パナソニックパンサーズ
永野,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,パナソニックパンサーズ
渡辺,74,34,1,45.9,44.6,4,0,0,0,161,6,29,49.0,113,0.43,,パナソニックパンサーズ
仲本,8,3,0,37.5,37.5,2,0,0,0,15,0,5,5.0,10,0.5,,パナソニックパンサーズ
専田,0,0,0,,,0,0,0,0,3,0,1,1.0,2,0.5,,パナソニックパンサーズ
柳田,204,82,11,40.2,34.8,22,0,0,0,452,39,101,163.0,291,0.56,,サントリーサンバーズ
栗山,49,18,4,36.7,28.6,7,0,0,0,88,4,11,39.0,54,0.72,,サントリーサンバーズ
塩田,43,24,1,55.8,53.5,30,0,0,0,298,5,51,86.0,218,0.39,,サントリーサンバーズ
藤中,140,64,10,45.7,38.6,26,0,0,0,433,11,58,150.0,271,0.55,,サントリーサンバーズ
大宅,6,2,0,33.3,33.3,15,0,0,0,370,16,69,135.0,234,0.58,,サントリーサンバーズ
鶴田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
小野,36,16,2,44.4,38.9,28,0,0,0,266,12,79,82.0,176,0.47,,サントリーサンバーズ
西田,1,0,0,0.0,0.0,2,0,0,0,161,7,22,53.0,107,0.5,,サントリーサンバーズ
喜入,0,0,0,,,0,0,0,0,11,1,3,3.0,8,0.38,,サントリーサンバーズ
加藤,10,5,1,50.0,40.0,8,0,0,0,120,2,7,40.0,82,0.49,,サントリーサンバーズ
秦,13,6,1,46.2,38.5,1,0,0,0,17,0,1,5.0,13,0.38,,サントリーサンバーズ
松林,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
佐藤,0,0,0,,,0,0,0,0,76,0,11,17.0,59,0.29,,サントリーサンバーズ
ムセルスキー,365,184,31,50.4,41.9,42,0,0,0,384,52,96,135.0,251,0.54,,サントリーサンバーズ
季,4,3,0,75.0,75.0,0,0,0,0,21,2,6,9.0,15,0.6,,サントリーサンバーズ
小川,4,1,0,25.0,25.0,0,0,0,0,11,1,3,4.0,7,0.57,,サントリーサンバーズ
深津,5,3,0,60.0,60.0,13,0,0,0,375,8,21,132.0,231,0.57,,JTサンダーズ広島
陳,139,55,9,39.6,33.1,25,0,0,0,371,12,50,135.0,236,0.57,,JTサンダーズ広島
エドガー,286,114,18,39.9,33.6,20,0,0,0,353,27,97,107.0,249,0.43,,JTサンダーズ広島
小野寺,64,25,5,39.1,31.2,62,0,0,0,446,14,48,116.0,335,0.35,,JTサンダーズ広島
武智,59,28,3,47.5,42.4,6,0,0,0,123,2,25,31.0,96,0.32,,JTサンダーズ広島
西,9,6,0,66.7,66.7,6,0,0,0,70,2,4,24.0,46,0.52,,JTサンダーズ広島
唐川,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
井上(慎),11,4,1,36.4,27.3,0,0,0,0,43,3,15,14.0,29,0.48,,JTサンダーズ広島
にし,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
久原,0,0,0,,,0,0,0,0,44,0,4,11.0,33,0.33,,JTサンダーズ広島
金子,19,8,2,42.1,31.6,13,0,0,0,151,7,10,45.0,105,0.43,,JTサンダーズ広島
熊倉,5,1,0,20.0,20.0,0,0,0,0,8,0,3,3.0,5,0.6,,JTサンダーズ広島
中島,2,1,0,50.0,50.0,3,0,0,0,78,4,11,18.0,60,0.3,,JTサンダーズ広島
合田,0,0,0,,,0,0,0,0,39,2,1,14.0,27,0.52,,JTサンダーズ広島
井上(航),0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
山本,89,26,4,29.2,24.7,15,0,0,0,263,17,56,64.0,195,0.33,,JTサンダーズ広島
八子,27,13,2,48.1,40.7,2,0,0,0,43,1,9,9.0,34,0.26,,JTサンダーズ広島
安永,14,8,1,57.1,50.0,13,0,0,0,136,1,16,34.0,102,0.33,,JTサンダーズ広島
ロジャーズ,0,0,0,,,0,0,0,0,22,0,4,5.0,17,0.29,,JTサンダーズ広島
新井,49,18,10,36.7,16.3,9,0,0,0,108,6,20,36.0,75,0.48,,JTサンダーズ広島
坂下,7,1,1,14.3,0.0,1,0,0,0,32,0,11,5.0,27,0.19,,JTサンダーズ広島
西村,0,0,0,,,0,0,0,0,3,0,2,0.0,3,0.0,,JTサンダーズ広島
関田,13,6,1,46.2,38.5,21,0,0,0,453,23,51,149.0,302,0.49,,堺ブレイザーズ
鵜野,114,42,6,36.8,31.6,6,0,0,0,212,9,33,69.0,145,0.48,,堺ブレイザーズ
松本,31,14,1,45.2,41.9,39,0,0,0,404,7,14,121.0,281,0.43,,堺ブレイザーズ
高野,139,60,13,43.2,33.8,33,0,0,0,376,10,90,112.0,270,0.41,,堺ブレイザーズ
山本,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
