チーム,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率
FC東京,830,325,44,39.2,33.9,162,0,0,0,2698,99,441,777.0,1921,0.4,
JTサンダーズ広島,785,311,56,39.6,32.5,188,0,0,0,2708,106,407,803.0,1905,0.42,
VC長野トライデンツ,699,263,52,37.6,30.2,141,0,0,0,2596,82,395,635.0,1961,0.32,
ウルフドッグス名古屋,777,325,55,41.8,34.7,171,0,0,0,2602,112,433,793.0,1809,0.44,
サントリーサンバーズ,875,405,61,46.3,39.3,181,0,0,0,2708,152,518,921.0,1786,0.52,
ジェイテクトSTINGS,724,334,65,46.1,37.2,214,0,0,0,2604,121,383,835.0,1767,0.47,
パナソニックパンサーズ,788,383,48,48.6,42.5,188,0,0,0,2746,131,342,935.0,1811,0.52,
堺ブレイザーズ,765,310,72,40.5,31.1,212,0,0,0,2838,100,475,809.0,2029,0.4,
大分三好ヴァイセアドラー,588,245,53,41.7,32.7,119,0,0,0,2357,102,452,586.0,1771,0.33,
東レアローズ,737,311,63,42.2,33.6,145,0,0,0,2554,127,473,727.0,1827,0.4,
