チーム,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率
FC東京,301,132,24,43.9,35.9,27,199,90,55,239,8,37,63.0,181,0.35,59.0
JTサンダーズ広島,223,104,14,46.6,40.4,8,146,66,37,175,5,32,40.0,139,0.29,57.9
VC長野トライデンツ,294,129,16,43.9,38.4,26,191,92,36,246,6,22,57.0,177,0.32,57.6
ウルフドッグス名古屋,235,126,16,53.6,46.8,19,168,77,41,181,9,37,42.0,138,0.3,58.0
サントリーサンバーズ,235,132,20,56.2,47.7,17,163,59,51,200,11,34,61.0,157,0.39,51.8
ジェイテクトSTINGS,238,130,16,54.6,47.9,18,173,75,54,178,4,27,61.0,137,0.45,59.0
パナソニックパンサーズ,213,116,5,54.5,52.1,22,152,57,47,201,11,34,69.0,154,0.45,53.0
堺ブレイザーズ,271,139,17,51.3,45.0,12,178,78,47,226,7,37,58.0,173,0.34,57.0
大分三好ヴァイセアドラー,170,83,13,48.8,41.2,11,120,42,35,149,5,26,41.0,109,0.38,49.6
東レアローズ,206,118,14,57.3,50.5,19,150,77,37,196,11,40,51.0,154,0.33,63.7
