名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
籾井,28,19,0,67.9,67.9,7,0,0,0,221,6,21,78.0,120,0.65,,JTマーヴェラス
田中,273,88,13,32.2,27.5,10,0,0,0,265,9,45,87.0,165,0.53,,JTマーヴェラス
小川,12,5,1,41.7,33.3,8,0,0,0,108,6,5,44.0,68,0.65,,JTマーヴェラス
林,272,100,14,36.8,31.6,34,0,0,0,306,6,15,132.0,188,0.7,,JTマーヴェラス
ドルーズ,305,142,18,46.6,40.7,16,0,0,0,229,15,41,92.0,140,0.66,,JTマーヴェラス
小幡,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
芥川,33,13,0,39.4,39.4,32,0,0,0,181,9,12,67.0,118,0.57,,JTマーヴェラス
柴田,2,0,0,0.0,0.0,0,0,0,0,134,6,3,54.0,81,0.67,,JTマーヴェラス
橘井,82,25,3,30.5,26.8,4,0,0,0,100,9,11,47.0,57,0.82,,JTマーヴェラス
目黒,0,0,0,,,0,0,0,0,102,2,3,40.0,62,0.65,,JTマーヴェラス
ヒックマン,34,15,3,44.1,35.3,2,0,0,0,55,3,2,22.0,35,0.63,,JTマーヴェラス
榊原,4,2,0,50.0,50.0,1,0,0,0,78,0,3,39.0,43,0.91,,JTマーヴェラス
西川,4,1,0,25.0,25.0,0,0,0,0,2,0,0,0.0,2,0.0,,JTマーヴェラス
深萱,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,,JTマーヴェラス
和田,1,1,0,100.0,100.0,0,0,0,0,1,0,0,0.0,1,0.0,,JTマーヴェラス
橋本,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,,JTマーヴェラス
神田,1,0,0,0.0,0.0,1,0,0,0,40,1,2,19.0,21,0.9,,JTマーヴェラス
タットダオ,7,2,1,28.6,14.3,17,0,0,0,90,4,5,33.0,57,0.58,,JTマーヴェラス
