名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブ効果,サーブ効果率,サーブレシーブ成功率,チーム
籾井,8,4,1,50.0,37.5,1,1,0,0,15,1,2,5.0,10,0.5,7.0,16.1,0.0,JTマーヴェラス
田中,69,23,2,33.3,30.4,1,31,14,3,17,1,2,4.0,12,0.33,6.0,12.5,50.0,JTマーヴェラス
小川,2,1,0,50.0,50.0,0,0,0,0,6,1,0,1.0,4,0.25,3.0,25.0,,JTマーヴェラス
林,58,17,1,29.3,27.6,4,48,23,14,31,1,1,20.0,19,1.05,17.0,16.1,62.5,JTマーヴェラス
ドルーズ,115,61,7,53.0,47.0,3,0,0,0,33,1,7,11.0,18,0.61,15.0,11.5,,JTマーヴェラス
小幡,0,0,0,,,0,34,18,7,0,0,0,0.0,0,,0.0,,63.2,JTマーヴェラス
芥川,8,4,0,50.0,50.0,1,1,1,0,15,0,0,6.0,12,0.5,4.0,6.7,100.0,JTマーヴェラス
柴田,2,2,0,100.0,100.0,0,0,0,0,4,0,0,1.0,3,0.33,3.0,18.8,,JTマーヴェラス
橘井,12,5,2,41.7,25.0,0,1,1,0,19,2,1,6.0,10,0.6,12.0,23.8,100.0,JTマーヴェラス
目黒,0,0,0,,,0,32,19,8,11,1,1,5.0,6,0.83,5.0,18.2,71.9,JTマーヴェラス
ヒックマン,5,2,1,40.0,20.0,1,3,1,1,3,1,0,2.0,2,1.0,1.0,41.7,50.0,JTマーヴェラス
榊原,0,0,0,,,1,0,0,0,9,0,0,3.0,6,0.5,4.0,11.1,,JTマーヴェラス
西川,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,JTマーヴェラス
深萱,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,JTマーヴェラス
和田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,JTマーヴェラス
橋本,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,JTマーヴェラス
神田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,JTマーヴェラス
タットダオ,3,1,0,33.3,33.3,3,1,1,0,1,0,0,0.0,1,0.0,0.0,0.0,100.0,JTマーヴェラス
吉岡,54,13,4,24.1,16.7,0,23,12,6,18,0,0,4.0,12,0.33,6.0,8.3,65.2,岡山シーガルズ
渡邊,45,21,3,46.7,40.0,1,2,2,0,12,0,0,3.0,10,0.3,3.0,6.2,100.0,岡山シーガルズ
金田,68,19,3,27.9,23.5,0,26,10,6,11,0,0,2.0,8,0.25,2.0,4.5,50.0,岡山シーガルズ
高野,6,1,1,16.7,0.0,1,0,0,0,1,0,0,0.0,1,0.0,1.0,25.0,,岡山シーガルズ
川島,8,3,0,37.5,37.5,1,1,0,0,12,0,0,2.0,10,0.2,8.0,16.7,0.0,岡山シーガルズ
楢崎,0,0,0,,,0,12,6,1,1,0,0,0.0,1,0.0,0.0,0.0,54.2,岡山シーガルズ
宮下(遥),0,0,0,,,2,0,0,0,11,0,0,9.0,7,1.29,7.0,15.9,,岡山シーガルズ
船田,0,0,0,,,0,21,9,6,5,0,0,2.0,3,0.67,3.0,15.0,57.1,岡山シーガルズ
及川,18,3,0,16.7,16.7,0,0,0,0,6,0,0,0.0,2,0.0,0.0,0.0,,岡山シーガルズ
宇賀神,1,1,0,100.0,100.0,0,0,0,0,14,0,0,2.0,11,0.18,2.0,3.6,,岡山シーガルズ
古川,18,4,0,22.2,22.2,0,0,0,0,2,0,0,0.0,2,0.0,1.0,12.5,,岡山シーガルズ
