名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
籾井,37,22,2,59.5,54.1,6,1,0,0,0,0,0,0.0,0,,0.0,JTマーヴェラス
田中,424,157,19,37.0,32.5,3,509,218,119,0,0,0,0.0,0,,54.5,JTマーヴェラス
小川,61,32,4,52.5,45.9,3,3,0,1,0,0,0,0.0,0,,16.7,JTマーヴェラス
林,465,175,23,37.6,32.7,10,580,288,145,0,0,0,0.0,0,,62.2,JTマーヴェラス
ドルーズ,627,313,26,49.9,45.8,10,1,0,1,0,0,0,0.0,0,,50.0,JTマーヴェラス
小幡,0,0,0,,,0,283,176,37,0,0,0,0.0,0,,68.7,JTマーヴェラス
芥川,161,70,7,43.5,39.1,11,14,6,2,0,0,0,0.0,0,,50.0,JTマーヴェラス
柴田,6,4,0,66.7,66.7,0,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
橘井,136,49,8,36.0,30.1,1,20,8,5,0,0,0,0.0,0,,52.5,JTマーヴェラス
目黒,2,0,0,0.0,0.0,0,87,52,20,0,0,0,0.0,0,,71.3,JTマーヴェラス
ヒックマン,50,16,1,32.0,30.0,1,86,42,23,0,0,0,0.0,0,,62.2,JTマーヴェラス
榊原,34,15,2,44.1,38.2,2,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
西川,7,2,1,28.6,14.3,1,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
深萱,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
和田,8,1,1,12.5,0.0,0,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
橋本,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTマーヴェラス
神田,22,8,1,36.4,31.8,0,1,1,0,0,0,0,0.0,0,,100.0,JTマーヴェラス
タットダオ,88,42,4,47.7,43.2,10,1,1,0,0,0,0,0.0,0,,100.0,JTマーヴェラス
吉岡,513,169,25,32.9,28.1,2,526,256,98,0,0,0,0.0,0,,58.0,岡山シーガルズ
渡邊,432,166,26,38.4,32.4,3,65,35,8,0,0,0,0.0,0,,60.0,岡山シーガルズ
金田,593,222,20,37.4,34.1,6,478,251,85,0,0,0,0.0,0,,61.4,岡山シーガルズ
高野,25,5,2,20.0,12.0,1,0,0,0,0,0,0,0.0,0,,,岡山シーガルズ
川島,163,67,6,41.1,37.4,4,12,9,0,0,0,0,0.0,0,,75.0,岡山シーガルズ
楢崎,0,0,0,,,0,208,109,40,0,0,0,0.0,0,,62.0,岡山シーガルズ
宮下(遥),6,4,0,66.7,66.7,9,5,0,0,0,0,0,0.0,0,,0.0,岡山シーガルズ
船田,0,0,0,,,0,87,38,17,0,0,0,0.0,0,,53.4,岡山シーガルズ
及川,233,96,8,41.2,37.8,11,22,17,4,0,0,0,0.0,0,,86.4,岡山シーガルズ
宇賀神,5,3,0,60.0,60.0,1,4,0,0,0,0,0,0.0,0,,0.0,岡山シーガルズ
古川,183,66,13,36.1,29.0,0,62,21,9,0,0,0,0.0,0,,41.1,岡山シーガルズ
西村,29,7,0,24.1,24.1,0,125,58,37,0,0,0,0.0,0,,61.2,岡山シーガルズ
居村,118,50,6,42.4,37.3,2,13,6,1,0,0,0,0.0,0,,50.0,岡山シーガルズ
長瀬,82,27,4,32.9,28.0,5,6,3,2,0,0,0,0.0,0,,66.7,岡山シーガルズ
高柳(有),17,3,0,17.6,17.6,0,16,4,4,0,0,0,0.0,0,,37.5,岡山シーガルズ
丸山,1,0,0,0.0,0.0,0,8,4,2,0,0,0,0.0,0,,62.5,岡山シーガルズ
田口,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,,,岡山シーガルズ
遠藤,9,4,2,44.4,22.2,0,0,0,0,0,0,0,0.0,0,,,岡山シーガルズ
前田,4,2,0,50.0,50.0,0,10,2,1,0,0,0,0.0,0,,25.0,岡山シーガルズ
中本,71,17,5,23.9,16.9,1,86,28,22,0,0,0,0.0,0,,45.3,岡山シーガルズ
小野寺,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,岡山シーガルズ
付,5,0,1,0.0,-20.0,1,0,0,0,0,0,0,0.0,0,,,岡山シーガルズ
堀江,92,28,4,30.4,26.1,0,22,6,7,0,0,0,0.0,0,,43.2,埼玉上尾メディックス
吉野,475,176,29,37.1,30.9,5,623,280,140,0,0,0,0.0,0,,56.2,埼玉上尾メディックス
内瀬戸,511,186,19,36.4,32.7,5,482,240,116,0,0,0,0.0,0,,61.8,埼玉上尾メディックス
サンティアゴ,279,117,9,41.9,38.7,9,17,4,5,0,0,0,0.0,0,,38.2,埼玉上尾メディックス
山岸,0,0,0,,,0,328,156,79,0,0,0,0.0,0,,59.6,埼玉上尾メディックス
山口,49,22,5,44.9,34.7,1,1,0,1,0,0,0,0.0,0,,50.0,埼玉上尾メディックス
田川,1,1,0,100.0,100.0,0,1,0,0,0,0,0,0.0,0,,0.0,埼玉上尾メディックス
山崎,25,13,0,52.0,52.0,14,4,0,0,0,0,0,0.0,0,,0.0,埼玉上尾メディックス
椎名,34,11,0,32.4,32.4,1,23,9,4,0,0,0,0.0,0,,47.8,埼玉上尾メディックス
佐藤,86,30,3,34.9,31.4,0,47,13,20,0,0,0,0.0,0,,48.9,埼玉上尾メディックス
ジョセフ,500,180,20,36.0,32.0,4,1,0,0,0,0,0,0.0,0,,0.0,埼玉上尾メディックス
青柳,282,113,8,40.1,37.2,9,23,11,2,0,0,0,0.0,0,,52.2,埼玉上尾メディックス
大室,0,0,0,,,0,42,19,11,0,0,0,0.0,0,,58.3,埼玉上尾メディックス
岩澤,0,0,0,,,0,28,15,8,0,0,0,0.0,0,,67.9,埼玉上尾メディックス
工藤,387,136,28,35.1,27.9,3,204,88,49,0,0,0,0.0,0,,55.1,デンソーエアリービーズ
