チーム,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,サーブレシーブ成功率
JTマーヴェラス,2128,906,99,42.6,37.9,58,1586,792,353,0,0,0,61.1
KUROBEアクアフェアリーズ,2389,825,147,34.5,28.4,61,1797,652,532,0,0,0,51.1
NECレッドロケッツ,2100,892,97,42.5,37.9,52,1540,653,398,0,0,0,55.3
PFUブルーキャッツ,1878,645,89,34.3,29.6,39,1397,597,349,0,0,0,55.2
デンソーエアリービーズ,2183,854,108,39.1,34.2,46,1630,776,365,0,0,0,58.8
トヨタ車体クインシーズ,2303,825,158,35.8,29.0,68,1745,721,400,0,0,0,52.8
ヴィクトリーナ姫路,2664,963,133,36.1,31.2,50,1887,812,395,0,0,0,53.5
久光スプリングス,2245,873,99,38.9,34.5,59,1744,796,400,0,0,0,57.1
埼玉上尾メディックス,2334,877,97,37.6,33.4,48,1642,753,393,0,0,0,57.8
岡山シーガルズ,2491,908,118,36.5,31.7,46,1733,841,330,0,0,0,58.0
日立リヴァーレ,2562,940,161,36.7,30.4,73,1895,882,457,0,0,0,58.6
東レアローズ,1942,877,83,45.2,40.9,43,1461,668,365,0,0,0,58.2
