名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,久光スプリングス,16,72,386,192,12,49.7,46.6,1,0,0,58,215,15,19,61,13,4,3,0.0,2.67,0.81,11.9,42.3
アコスタロスランディ,PFUブルーキャッツ,18,53,743,272,36,36.6,31.8,116,44,8,15,170,6,17,28,317,146,81,37.9,5.13,0.28,5.1,58.8
オクム大庭冬美ハウィ,日立リヴァーレ,17,39,527,200,38,38.0,30.7,73,23,6,11,119,4,8,26,0,0,0,31.5,5.13,0.28,7.1,
オズソイネリマン,NECレッドロケッツ,23,60,773,288,43,37.3,31.7,167,71,18,28,220,12,9,46,0,0,0,42.5,4.8,0.47,9.7,
クランヤナ,東レアローズ,7,74,890,379,36,42.6,38.5,134,66,4,36,288,21,30,89,3,1,2,49.3,5.12,0.49,12.4,66.7
グーパートポーンプン,トヨタ車体クインシーズ,12,36,17,11,0,64.7,64.7,1,1,0,3,98,1,5,17,2,0,0,100.0,0.31,0.08,4.1,0.0
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,70,335,140,13,41.8,37.9,0,0,0,32,196,9,26,55,14,4,4,,2.0,0.46,8.3,42.9
ジャラットハタイラット,PFUブルーキャッツ,4,6,4,1,0,25.0,25.0,0,0,0,2,14,0,1,4,0,0,0,,0.17,0.33,5.4,
ジョセフシャイナ,埼玉上尾メディックス,15,65,666,228,27,34.2,30.2,203,61,16,16,193,5,18,52,1,0,0,30.0,3.51,0.25,7.0,0.0
ソロカイテインドレ,トヨタ車体クインシーズ,13,71,871,291,75,33.4,24.8,221,64,24,24,228,10,47,44,1,0,0,29.0,4.1,0.34,4.1,0.0
タップハンナ,日立リヴァーレ,5,79,426,196,21,46.0,41.1,0,0,0,57,201,8,18,57,7,3,2,,2.48,0.72,8.8,57.1
ドルーズアンドレア,JTマーヴェラス,10,72,795,397,36,49.9,45.4,230,114,18,19,199,14,36,77,1,0,1,49.6,5.51,0.26,12.2,50.0
ヌクジャンタットダオ,JTマーヴェラス,7,18,65,30,4,46.2,40.0,0,0,0,16,69,1,4,21,0,0,0,,1.67,0.89,7.6,
ヒックマンジャスティス,JTマーヴェラス,14,20,79,31,4,39.2,34.2,8,5,0,3,54,3,2,12,83,41,23,62.5,1.55,0.15,10.2,63.3
プラマーキャサリン,デンソーエアリービーズ,22,62,678,302,43,44.5,38.2,123,60,18,29,165,11,22,53,102,35,22,48.8,4.87,0.47,11.4,45.1
マルティニュークアリョーナ,ヴィクトリーナ姫路,20,26,192,63,10,32.8,27.6,32,11,1,6,37,0,4,8,0,0,0,34.4,2.42,0.23,2.7,
リーシモーン,KUROBEアクアフェアリーズ,10,72,928,315,70,33.9,26.4,215,76,22,30,185,10,18,60,9,1,3,35.3,4.38,0.42,11.1,27.8
上坂瑠子,日立リヴァーレ,1,73,838,249,54,29.7,23.3,46,5,3,16,284,12,9,88,526,242,125,10.9,3.41,0.22,11.2,57.9
上野香織,NECレッドロケッツ,6,41,145,67,3,46.2,44.1,0,0,0,5,112,5,15,22,15,9,3,,1.63,0.12,6.0,70.0
中元南,デンソーエアリービーズ,1,59,486,136,25,28.0,22.8,45,4,4,2,185,2,10,55,428,217,96,8.9,2.31,0.03,7.2,61.9
中屋夏澄,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,東レアローズ,6,29,0,0,0,,,0,0,0,0,0,0,0,0,90,43,26,,0.0,0.0,,62.2
中川美柚,久光スプリングス,14,35,189,62,11,32.8,27.0,5,0,0,10,125,3,4,25,140,52,38,0.0,1.77,0.29,6.6,50.7
中本柚朱,岡山シーガルズ,33,18,98,30,7,30.6,23.5,1,1,0,3,38,0,0,13,86,28,22,100.0,1.67,0.17,8.6,45.3
中本葉月,埼玉上尾メディックス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村安里,日立リヴァーレ,11,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中田紫乃,東レアローズ,5,49,73,21,1,28.8,27.4,0,0,0,4,34,1,1,11,64,16,19,,0.43,0.08,10.3,39.8
丸山亜季,岡山シーガルズ,20,55,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,7,3,2,,0.0,0.0,,57.1
丸山紗季,KUROBEアクアフェアリーズ,1,47,7,1,0,14.3,14.3,0,0,0,0,64,0,8,17,45,11,20,,0.02,0.0,3.5,46.7
井上奈々朱,東レアローズ,1,45,101,47,8,46.5,38.6,0,0,0,31,128,6,14,43,4,2,1,,1.04,0.69,10.4,62.5
井上愛里沙,久光スプリングス,5,67,671,231,25,34.4,30.7,50,11,3,29,219,7,18,55,178,69,41,22.0,3.45,0.43,7.4,50.3
井上琴絵,デンソーエアリービーズ,11,76,0,0,0,,,0,0,0,0,0,0,0,0,270,157,54,,0.0,0.0,,68.1
井上美咲,久光スプリングス,2,63,35,18,0,51.4,51.4,1,1,0,14,223,9,14,60,3,1,0,100.0,0.29,0.22,9.2,33.3
仁井田桃子,埼玉上尾メディックス,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,久光スプリングス,12,16,178,52,16,29.2,20.2,5,1,0,6,60,3,6,18,98,41,24,20.0,3.25,0.38,10.0,54.1
付欣田,岡山シーガルズ,24,2,7,2,1,28.6,14.3,0,0,0,2,4,0,1,0,0,0,0,,1.0,1.0,-6.2,
伊藤望,東レアローズ,3,5,0,0,0,,,0,0,0,0,7,1,1,2,0,0,0,,0.0,0.0,17.9,
佐々木千紘,ヴィクトリーナ姫路,14,64,214,98,13,45.8,39.7,1,0,0,17,210,12,22,59,9,4,1,0.0,1.53,0.27,10.1,50.0
佐々木海空,埼玉上尾メディックス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤優花,埼玉上尾メディックス,10,13,62,21,2,33.9,30.6,5,1,0,0,16,0,2,2,24,9,7,20.0,1.62,0.0,0.0,52.1
佐藤澪,NECレッドロケッツ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤美弥,日立リヴァーレ,8,4,0,0,0,,,0,0,0,1,4,0,0,2,0,0,0,,0.0,0.25,12.5,
入澤まい,日立リヴァーレ,14,70,229,85,20,37.1,28.4,0,0,0,41,212,14,32,75,16,3,5,,1.21,0.59,11.7,34.4
兵頭由希,デンソーエアリービーズ,24,32,94,31,6,33.0,26.6,14,3,2,0,57,2,4,10,17,7,4,21.4,0.97,0.0,6.1,52.9
内瀬戸真実,埼玉上尾メディックス,9,72,739,277,29,37.5,33.6,32,10,2,25,250,7,21,57,463,229,111,31.2,3.85,0.35,6.4,61.4
前田明里,岡山シーガルズ,23,2,5,2,0,40.0,40.0,0,0,0,0,1,0,0,1,10,2,1,,1.0,0.0,25.0,25.0
加藤光,久光スプリングス,7,48,0,0,0,,,0,0,0,0,73,2,2,19,0,0,0,,0.0,0.0,8.6,
