試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,1,,上場雄也,4,■,■,■,■,nan,45,20,5,44.4,33.3,5.00,9,4,1,44.4,2,0.50,15,1,2,4,10.0,0,0,0,-,23
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,2,,浜崎勇矢,4,■,■,■,■,nan,3,1,1,33.3,0.0,0.25,0,0,0,-,0,-,10,0,1,1,0.0,0,0,0,-,1
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,4,,阿部航平,4,■,■,■,■,nan,10,4,0,40.0,40.0,1.00,0,0,0,-,5,1.25,13,0,3,3,0.0,1,1,0,100.0,9
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,5,,廣瀬優希,4,■,■,■,■,nan,23,12,3,52.2,39.1,3.00,0,0,0,-,3,0.75,8,0,2,1,-3.1,0,0,0,-,15
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,6,,瀧澤陽紀,2,nan,□,nan,□,nan,6,2,0,33.3,33.3,1.00,0,0,0,-,0,-,3,0,2,1,-8.3,10,6,3,75.0,2
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,8,,曹海倫,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,10,,鎌田敏弥,1,nan,nan,nan,□,nan,4,3,0,75.0,75.0,3.00,1,1,0,100.0,0,-,3,0,1,2,8.3,2,1,0,50.0,3
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,12,,土井友登,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,7,1,0,2,21.4,0,0,0,-,1
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,13,L,新垣東麻,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-17,2020-10,つくばユナイテッドSunGAIA,埼玉アザレア,1,3,0,14,,勝本真太郎,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
