名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,1,60,5,20,51,199,128,9,64.3,59.8,1,0,0,35,115,2,14,26,15,7,5,165,0.0,2.51,0.69,4.3,63.3
マシューパロット,兵庫デルフィーノ,21,9,56,1,63,604,238,43,39.4,32.3,129,44,19,23,198,2,42,40,383,151,111,263,34.1,3.78,0.37,0.8,53.9
三好佳介,ヴィアティン三重,34,7,3,2,7,64,33,1,51.6,50.0,13,7,0,1,26,2,7,5,2,1,0,36,53.8,4.71,0.14,5.8,50.0
三木裕人,きんでんトリニティーブリッツ,18,8,25,1,26,64,23,6,35.9,26.6,6,1,0,0,72,2,8,13,155,69,47,25,16.7,0.88,0.0,4.5,59.7
三浦一真,埼玉アザレア,18,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦拓,サフィルヴァ北海道,10,7,14,2,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三角尚久,長野GaRons,3,31,37,8,68,0,0,0,,,0,0,0,0,0,0,0,0,149,67,36,0,,0.0,0.0,,57.0
三角昌弘,東京ヴェルディ,3,16,18,5,22,0,0,0,,,0,0,0,0,0,0,0,0,76,34,21,0,,0.0,0.0,,58.6
上出哲也,ヴィアティン三重,21,12,19,3,13,41,22,2,53.7,48.8,0,0,0,3,37,1,1,5,2,0,2,26,,1.69,0.23,5.4,50.0
上場雄也,つくばユナイテッドSunGAIA,1,29,31,8,56,630,295,54,46.8,38.3,231,101,30,19,213,15,40,74,4,0,0,329,43.7,5.27,0.34,11.0,0.0
中村有登,ヴィアティン三重,2,18,25,4,32,174,77,15,44.3,35.6,35,21,8,6,93,6,18,28,5,0,1,89,60.0,2.41,0.19,9.1,10.0
中村龍哉,東京ヴェルディ,6,9,16,3,8,5,1,0,20.0,20.0,0,0,0,0,9,0,1,0,0,0,0,1,,0.12,0.0,-2.8,
中野将太,兵庫デルフィーノ,5,9,56,1,63,15,7,2,46.7,33.3,1,0,1,2,178,8,26,34,5,2,0,17,0.0,0.11,0.03,5.6,40.0
中野竜,埼玉アザレア,4,21,6,7,20,147,72,11,49.0,41.5,49,27,5,4,74,5,14,19,51,20,9,81,55.1,3.6,0.2,8.4,48.0
二五田大輔,大同特殊鋼レッドスター,10,28,23,8,39,300,129,33,43.0,32.0,38,14,10,7,143,3,9,32,305,150,97,139,36.8,3.31,0.18,6.1,65.1
井上周二,兵庫デルフィーノ,16,8,20,1,28,13,3,0,23.1,23.1,0,0,0,0,11,0,0,4,157,60,54,3,,0.11,0.0,9.1,55.4
今田善仁,きんでんトリニティーブリッツ,4,4,12,0,4,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
仲村鴻輝,兵庫デルフィーノ,13,2,39,0,14,19,4,3,21.1,5.3,0,0,0,1,24,0,1,3,7,3,0,5,,0.29,0.07,2.1,42.9
伊澤啓生,大同特殊鋼レッドスター,1,22,12,7,31,221,108,12,48.9,43.4,39,25,2,8,109,5,13,17,135,58,44,121,64.1,3.48,0.26,5.5,59.3
佐々木博秋,ヴォレアス北海道,13,42,12,14,31,147,59,10,40.1,33.3,21,8,4,18,95,4,22,18,132,75,28,81,38.1,1.9,0.58,3.2,67.4
佐藤利空,長野GaRons,16,10,22,2,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
佐藤匠,埼玉アザレア,5,32,17,10,46,152,71,9,46.7,40.8,0,0,0,33,144,7,5,23,2,1,1,111,,1.54,0.72,8.0,75.0
佐藤陸善,サフィルヴァ北海道,20,16,32,4,43,12,7,0,58.3,58.3,0,0,0,6,132,4,16,30,1,0,0,17,,0.16,0.14,5.7,0.0
佐藤隼一,東京ヴェルディ,10,19,22,6,19,9,1,2,11.1,-11.1,5,1,2,0,28,2,8,10,9,7,0,3,20.0,0.05,0.0,8.9,77.8
備一真,大同特殊鋼レッドスター,12,28,23,8,43,0,0,0,,,0,0,0,0,0,0,0,0,166,121,27,0,,0.0,0.0,,81.0
兵頭佳樹,富士通カワサキレッドスピリッツ,13,60,5,20,59,285,143,13,50.2,45.6,24,9,3,16,215,9,27,46,270,102,91,168,37.5,2.42,0.27,6.4,54.6
内園徹,きんでんトリニティーブリッツ,9,6,19,1,23,0,0,0,,,0,0,0,0,38,3,1,10,14,5,5,3,,0.0,0.0,13.8,53.6
前川将太,ヴィアティン三重,11,17,22,4,23,159,71,10,44.7,38.4,26,9,3,11,71,5,19,12,79,32,25,87,34.6,3.09,0.48,4.6,56.3
前田将武,埼玉アザレア,9,32,17,10,28,5,4,0,80.0,80.0,0,0,0,1,40,0,13,5,0,0,0,5,,0.14,0.04,-5.0,
加藤伊織,ヴォレアス北海道,9,30,8,10,12,19,9,0,47.4,47.4,0,0,0,6,40,1,4,11,2,2,0,16,,0.75,0.5,6.9,100.0
加藤克貴,埼玉アザレア,2,32,17,10,39,175,74,16,42.3,33.1,17,6,2,2,134,5,5,35,293,131,72,81,35.3,1.9,0.05,9.3,57.0
加藤大雄,富士通カワサキレッドスピリッツ,7,60,5,20,56,150,76,9,50.7,44.7,0,0,0,34,218,9,21,53,14,6,3,119,,1.36,0.61,7.8,53.6
加藤遼太,兵庫デルフィーノ,8,4,39,0,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
勝本真太郎,つくばユナイテッドSunGAIA,14,13,20,3,28,32,14,3,43.8,34.4,5,0,2,1,36,2,2,10,0,0,0,17,0.0,0.5,0.04,11.1,
北田陽季,ヴィアティン三重,23,23,31,5,38,164,63,19,38.4,26.8,30,6,9,14,126,7,10,32,13,2,3,84,20.0,1.66,0.37,9.9,26.9
十良澤太一,サフィルヴァ北海道,11,3,16,1,6,0,0,0,,,0,0,0,1,10,0,2,3,0,0,0,1,,0.0,0.17,2.5,
古川一輝,きんでんトリニティーブリッツ,15,8,25,1,11,49,21,4,42.9,34.7,0,0,0,3,29,0,3,5,0,0,0,24,,1.91,0.27,1.7,
古田史郎,ヴォレアス北海道,4,30,11,10,27,195,102,7,52.3,48.7,64,33,4,24,74,8,16,26,0,0,0,134,51.6,3.78,0.89,14.2,
吉田康祐,サフィルヴァ北海道,5,12,25,3,4,3,3,0,100.0,100.0,0,0,0,1,5,0,1,0,0,0,0,4,,0.75,0.25,-5.0,
吉田綜眞,富士通カワサキレッドスピリッツ,5,33,3,11,10,37,16,3,43.2,35.1,6,2,0,1,24,0,0,4,0,0,0,17,33.3,1.6,0.1,4.2,
吉田裕亮,ヴィアティン三重,13,3,12,0,13,75,32,8,42.7,32.0,5,2,3,0,41,3,4,13,63,26,22,35,40.0,2.46,0.0,12.8,58.7
吉田魁成,大同特殊鋼レッドスター,3,21,17,6,38,161,90,8,55.9,50.9,0,0,0,12,124,5,12,16,3,1,0,107,,2.37,0.32,4.8,33.3
和治裕太,きんでんトリニティーブリッツ,17,1,3,0,4,17,6,0,35.3,35.3,0,0,0,1,13,1,5,2,0,0,0,8,,1.5,0.25,1.9,
土井友登,つくばユナイテッドSunGAIA,12,29,31,8,35,1,0,0,0.0,0.0,0,0,0,2,113,3,3,24,2,0,0,5,,0.0,0.06,7.3,0.0
